"denominazione","tipologia","categoria","totale_unita","totale_bagni","totale_letti","indirizzo","frazione","cap","codice_istat_comune","comune","provincia","latitudine","longitudine","telefono","fax","sitoweb","email","periodi","servizi_generali","servizi_camera","prezzo_alta_stagione_o_unica","prezzo_bassa_stagione","foto1","foto2","foto3","foto4","foto5"
"DIMORA DON VITO","Bed & breakfast","","3","2","6","S.C. 172 PARCO TALLINAIO","","70010","072025","Locorotondo","BA","","","3393111092","0804434170","www.dimoradonvito.it","info@dimoradonvito.it","01/03/2015-03/11/2015","Bagno privato-Parco / Giardino","Rscaldamento centralizzato-Tv-Tv satellitare-Angolo cottura","camera-doppia (52-92)#camera-doppia-bagno (52-92)","camera-doppia (0-0)#camera-doppia-bagno (0-0)","","","","",""
"CORTE MOLINE","Bed & breakfast","","4","4","9","VIA MOLINE","","73014","075031","Gallipoli","LE","","","","","","info@cortemoline.com","01/01/2015-10/01/2015#07/03/2015-24/10/2015#26/12/2015-31/12/2015","Bagno privato","Aria condizionata indipendente-Rscaldamento centralizzato-Riscaldamento indipendente-Tv-Riscaldamento-Angolo cottura","camera-singola-bagno (75-90)#camera-tripla-bagno-persona (35-65)","camera-singola-bagno (35-35)#camera-tripla-bagno-persona (23-23)","","","","",""
"VILLA ROSANNA","Bed & breakfast","","5","5","10","VIALE DELLE VITI","","72015","074007","Fasano","BR","","","080 4332089  MOB 320 3010725  SIG, VITTORIO","","WWW.VILLAROSANNA.IT","villarosanna@alice.it","01/01/2015-27/09/2015","Bagno privato-Parco / Giardino-Accesso animali piccola taglia","Aria condizionata indipendente-Riscaldamento indipendente-Tv-Insonorizzazione-Frigobar-Riscaldamento","camera-doppia (100-100)#doppia-uso-singola (40-70)","camera-doppia (80-100)#doppia-uso-singola (0-0)","http://www.agenziapugliapromozione.it/portal/documents/ddl/1032094/fileFoto1","","","",""
"LA FATA TURCHINA ","Bed & breakfast","","4","4","10","C.DA MONACI","","73020","075026","Cutrofiano","LE","","","","","www.lafataturchina.com","info@lafataturchina.com","","","","","","","","","",""
"SOLEPINETA","Bed & breakfast","","3","3","9","VIA CALABRIA","","73046","075042","Matino","LE","","","0833/305082","","www.solepineta.it","info@solepineta.it","01/01/2015-31/01/2015#01/04/2015-15/10/2015#01/12/2015-31/12/2015","Bagno privato-Sala lettura-Parco / Giardino-Accesso animali piccola taglia","Aria condizionata indipendente-Riscaldamento","camera-doppia-bagno (60-100)#camera-quadrupla-bagno (80-120)#camera-tripla-bagno (70-110)#doppia-uso-singola (30-60)","camera-doppia-bagno (40-50)#camera-quadrupla-bagno (60-70)#camera-tripla-bagno (50-60)#doppia-uso-singola (-)","","","","",""
"VILLA TERESA","Bed & breakfast","","3","3","9","VIA P. LAUDISA","","73016","075068","San Cesario di Lecce","LE","","","0832/359045","","www.bbvillateresa.it","info@bbvillateresa.it","","Parco / Giardino","Aria condizionata indipendente","camera-doppia-bagno (60-70)#camera-singola-bagno (35-45)#camera-tripla-bagno (80-100)","camera-doppia-bagno (-)#camera-singola-bagno (-)#camera-tripla-bagno (-)","","","","",""
"MASSERIA LACCO","Alloggi agrituristici","","9","9","24","CONTRADA LACCO","","73036","075051","Muro Leccese","LE","40.1037335","18.336969700000054","320 0796078","","www.masseria-lacco.com","info@masseria-lacco.com","01/01/2015-31/12/2015","Ristorante-Deposito bagagli-Cassaforte / cassette di sicurezza-Parcheggio Coperto / Scoperto-Quotidiani-Accesso animali piccola taglia","Aria condizionata indipendente-Rscaldamento centralizzato-Cassafforte / cassetta di sicurezza-Tv-Insonorizzazione-Frigobar-Riscaldamento","camera-doppia-bagno (70-100)#mezza-pensione-bagno (80-110)#pasto-cena (-27)#pasto-pranzo (-27)#supplemento-cambio-biancheria (10-15)#supplemento-posto-letto-agg (20-35)#supplemento-pulizia-bilocale (20-35)#ua-bilocale-giorno (140-180)","camera-doppia-bagno (60-80)#mezza-pensione-bagno (70-80)#pasto-cena (-)#pasto-pranzo (-)#supplemento-cambio-biancheria (-)#supplemento-posto-letto-agg (-)#supplemento-pulizia-bilocale (-)#ua-bilocale-giorno (110-130)","http://www.agenziapugliapromozione.it/portal/documents/ddl/159208/fileFoto1","http://www.agenziapugliapromozione.it/portal/documents/ddl/159208/fileFoto2","http://www.agenziapugliapromozione.it/portal/documents/ddl/159208/fileFoto3","http://www.agenziapugliapromozione.it/portal/documents/ddl/159208/fileFoto4","http://www.agenziapugliapromozione.it/portal/documents/ddl/159208/fileFoto5"
"DIMORA TORREDOMINI","Alberghi","4 stelle","7","7","14","STRADA PROV.107 ","","70054","072022","Giovinazzo","BA","","","080 3948390","","www.torredomini.it","dimora@torredomini.it","","","","camera-doppia-bagno (100-200)#pasto-cena (30-30)#pasto-colazione (12-12)#pasto-pranzo (30-30)","camera-doppia-bagno (-)#pasto-cena (-)#pasto-colazione (-)#pasto-pranzo (-)","","","","",""
"SANTA LUCIA","Alberghi","3 stelle","35","37","69","VIA BELVEDERE","","73020","075072","Santa Cesarea Terme","LE","","","0836-944045","0836944022","www.hotelsantalucia.com","info@hotelsantalucia.com","01/05/2015-15/10/2015","Ristorante-Bar-Punto ristoro-Reception 24h-Deposito bagagli-Cassaforte / cassette di sicurezza-Parcheggio Coperto / Scoperto-Accesso animali piccola taglia","Aria condizionata indipendente-Riscaldamento indipendente-Cassafforte / cassetta di sicurezza-Tv-Frigobar-Riscaldamento-Telefono","camera-doppia-bagno (120-120)#camera-singola-bagno (90-90)","camera-doppia-bagno (60-100)#camera-singola-bagno (50-70)","http://www.agenziapugliapromozione.it/portal/documents/ddl/429645/fileFoto1","http://www.agenziapugliapromozione.it/portal/documents/ddl/429645/fileFoto2","http://www.agenziapugliapromozione.it/portal/documents/ddl/429645/fileFoto3","http://www.agenziapugliapromozione.it/portal/documents/ddl/429645/fileFoto4",""
"IL PRINCIPE","Bed & breakfast","","2","4","4","VIA GIUSEPPE VERDI","","70027","072033","Palo del Colle","BA","","","","","","","","","","camera-doppia-bagno (50-55)#camera-singola-bagno (30-35)","camera-doppia-bagno (-)#camera-singola-bagno (-)","","","","",""
"CASEVACANZASALENTO.IT","Case e appartamenti","","7","7","32","LOC. PESCOLUSE MARINA DI SALVE","","73050","075066","Salve","LE","","","3294187766","","www.casevacanzasalento.it","info@casevacanzasalento.it","01/05/2015-30/10/2015","Bagno privato-Accesso animali piccola taglia","Angolo cottura","ua-bilocale-sett (300-1200)#ua-plurilocale-sett (350-1300)","ua-bilocale-sett (0-0)#ua-plurilocale-sett (0-0)","","","","",""
"LA OZZA ","Bed & breakfast","","3","2","7","VIA CAN. MARTIRE SCHITO","","73028","075057","Otranto","LE","40.142408","18.488067","0836/804422","","http://laozzabebotranto.inonda.tv/","cla.giannetta@gmail.com","01/04/2015-31/10/2015","Deposito bagagli-Cucina in uso comune-Sala lettura-Accesso animali piccola taglia-Bagno privato","Aria condizionata indipendente-Rscaldamento centralizzato","camera-doppia (60-80)#camera-doppia-bagno-persona (35-45)#camera-doppia-persona (30-35)#camera-tripla-bagno (80-110)#camera-tripla-bagno-persona (35-45)#doppia-uso-singola (30-60)","camera-doppia (40-50)#camera-doppia-bagno-persona (20-25)#camera-doppia-persona (20-25)#camera-tripla-bagno (60-90)#camera-tripla-bagno-persona (20-25)#doppia-uso-singola (-)","http://www.agenziapugliapromozione.it/portal/documents/ddl/872022/fileFoto1","http://www.agenziapugliapromozione.it/portal/documents/ddl/872022/fileFoto2","http://www.agenziapugliapromozione.it/portal/documents/ddl/872022/fileFoto3","http://www.agenziapugliapromozione.it/portal/documents/ddl/872022/fileFoto4","http://www.agenziapugliapromozione.it/portal/documents/ddl/872022/fileFoto5"
"RESIDENZA TURISTICA CASA TUA","Case e appartamenti","","9","9","13","VIA ROBERTO DA BARI","","70122","072006","Bari","BA","","","0805246654","","www.zodiacushotel.it","info@zodiacushotel.it","01/01/2015-31/12/2015","Ascensore-Bagno privato","Aria condizionata indipendente-Riscaldamento indipendente-Tv-Frigobar-Riscaldamento-Telefono-Angolo cottura","supplemento-pulizia-bilocale (30-30)#supplemento-pulizia-monolocale (30-30)#supplemento-pulizia-plurilocale (30-30)#ua-bilocale-due-sett (990-1800)#ua-bilocale-mese (1500-3000)#ua-bilocale-sett (490-850)#ua-monolocale-due-sett (990-1800)#ua-monolocale-mese (1500-3000)#ua-monolocale-sett (490-850)#ua-plurilocale-due-sett (990-1800)#ua-plurilocale-mese (1500-3000)#ua-plurilocale-sett (490-850)","supplemento-pulizia-bilocale (-)#supplemento-pulizia-monolocale (-)#supplemento-pulizia-plurilocale (-)#ua-bilocale-due-sett (0-0)#ua-bilocale-mese (0-0)#ua-bilocale-sett (0-0)#ua-monolocale-due-sett (0-0)#ua-monolocale-mese (0-0)#ua-monolocale-sett (0-0)#ua-plurilocale-due-sett (0-0)#ua-plurilocale-mese (0-0)#ua-plurilocale-sett (0-0)","","","","",""
"PORTO PIRRONE","Campeggi","3 stelle","135","27","540","LITORANEA SALENTINA-C/DA PORTO PIRRONE","","74020","073010","Leporano","TA","","","099.5315184","","www.portopirronecamping.it","info@portopirronecamping.it","","","","adulti (9-9)#piazzola-prezzi (16-16)#ragazzi (6-6)#supplemento-accesso-visitatori (3-3)#supplemento-seconda-auto (3-3)#supplemento-seconda-moto (2-2)","adulti (6-6)#piazzola-prezzi (12-12)#ragazzi (4-4)#supplemento-accesso-visitatori (0-0)#supplemento-seconda-auto (0-0)#supplemento-seconda-moto (0-0)","","","","",""
"VILLA GIADA","Bed & breakfast","","6","6","10","CONTRADA GALASO","","74025","073007","Ginosa","TA","","","099.8277633 - 329 4353950","","www.villagiadaginosa.it","info@villagiadaginosa.it","","","","camera-doppia-bagno (40-80)#camera-singola-bagno (20-35)#camera-tripla-bagno (50-120)","camera-doppia-bagno (-)#camera-singola-bagno (-)#camera-tripla-bagno (-)","","","","",""
"MASSERIA FERRI","Alloggi agrituristici","","4","4","10","CONTRADA FERRO","","72017","074012","Ostuni","BR","40.70219252161911","17.40540277476805","080 4395483","","www.masseriaferri.com","info@masseriaferri.com","","Ristorante-Reception 24h-Parcheggio Coperto / Scoperto-Accesso animali piccola taglia-Camere / struttura per ospiti disabili","Riscaldamento indipendente-Tv-Frigobar-Riscaldamento-Angolo cottura","camera-doppia-bagno (120-120)#pasto-cena (20-20)#pasto-pranzo (20-20)#servizio-colazione (-)","camera-doppia-bagno (100-100)#pasto-cena (-)#pasto-pranzo (-)#servizio-colazione (-)","","","","",""
"DON CARLO-MASSERIA GIANCA","Bed & breakfast","","2","2","4","CONTRADA FIGAZZANO","","72014","074005","Cisternino","BR","","","","","","isabella.detullio@alice.it","","","","","","","","","",""
"WUNDERKAMMER B&B","Bed & breakfast","","3","2","8","VIALE NICCOL? PICCINNI","","74026","073022","Pulsano","TA","40.3538626","17.366464199999996","3478972365","","www.wunderkammerbeb.blogspot.com","wunder2009@libero.it","01/03/2015-25/10/2015#01/12/2015-31/12/2015","Sala lettura-Parco / Giardino","Aria condizionata indipendente-Riscaldamento indipendente","camera-doppia (80-80)#camera-tripla (100-100)#doppia-uso-singola (50-50)","camera-doppia (50-50)#camera-tripla (70-70)#doppia-uso-singola (-)","","","","",""
"MASSERIA PIETRASOLE METARESORT","Alberghi","4 stelle","7","7","14","STRADA SCANZANO (COMPL. OVEST SS 100)","","70126","072006","Bari","BA","41.08101955030193","16.89629033087158","0805461217","","www.pietrasolemetaresort.it","info@pietrasolemetaresort.it","","Deposito bagagli-Cassaforte / cassette di sicurezza-Parcheggio Coperto / Scoperto-Camere / struttura per ospiti disabili","Aria condizionata indipendente-Riscaldamento indipendente-Cassafforte / cassetta di sicurezza-Tv-Insonorizzazione-idromassaggio-Riscaldamento-Telefono","camera-doppia-bagno (180-300)#camera-singola-bagno (130-250)#servizio-colazione (-)","camera-doppia-bagno (-)#camera-singola-bagno (-)#servizio-colazione (-)","http://www.agenziapugliapromozione.it/portal/documents/ddl/95654/fileFoto1","http://www.agenziapugliapromozione.it/portal/documents/ddl/95654/fileFoto2","http://www.agenziapugliapromozione.it/portal/documents/ddl/95654/fileFoto3","http://www.agenziapugliapromozione.it/portal/documents/ddl/95654/fileFoto4","http://www.agenziapugliapromozione.it/portal/documents/ddl/95654/fileFoto5"
"LAMACAVALLO","Bed & breakfast","","1","1","4","CONTRADA LAMACAVALLO","","72017","074012","Ostuni","BR","40.743609773694075","17.61629984473268","","","","vacanze@lamacavallo.com","03/06/2015-31/10/2015","Bagno privato","Riscaldamento","camera-quadrupla-bagno-persona (30-50)","camera-quadrupla-bagno-persona (0-0)","","","","",""
"OLIMPO ","Affittacamere","","5","5","11","VICO III LANCELLOTTI","","76011","110003","Bisceglie","BT","41.235952","16.506763399999954","080 3991293","0803991293","www.albergolimpo.it","albergoolimpo@live.it","01/01/2015-31/12/2015","Bagno privato-Accesso animali piccola taglia","Aria condizionata indipendente-Riscaldamento indipendente-Tv-Frigobar-Riscaldamento","camera-doppia-bagno (48-65)#camera-doppia-bagno-2 (48-65)#camera-tripla-bagno (70-80)#supplemento-posto-letto-agg (5-10)","camera-doppia-bagno (43-55)#camera-doppia-bagno-2 (43-55)#camera-tripla-bagno (65-69)#supplemento-posto-letto-agg (-)","","","","",""
"CASALE SPISARI","Bed & breakfast","","9","4","10","VICINALE CONTRADA ""SPISARI""","","73044","075030","Galatone","LE","","","0833-243132","","www.casalespisari.it","info@casalespisari.it","","Sala Tv-Sala lettura","Aria condizionata indipendente-Tv-Frigobar","camera-doppia-bagno (60-100)#camera-singola-bagno (30-50)","camera-doppia-bagno (-)#camera-singola-bagno (-)","","","","",""
"SANTA LARIA ","Bed & breakfast","","4","4","8","VIA CAIROLI","","73026","075043","Melendugno","LE","","","","","www.santalaria.it","info@santalaria.it","","","","","","","","","",""
"HOTEL LANZILLOTTA","Alberghi","4 stelle","30","30","56","PIAZZA FERDINANDO IV°","","70011","072003","Alberobello","BA","","","080 4321511","","www.hotellanzillotta.it","info@hotellanzillotta.it","","","","camera-doppia-bagno (75-115)#camera-singola-bagno (-60)#mezza-pensione-bagno (57,5-77,5)#pasto-cena (20-20)#pasto-pranzo (20-20)#servizio-colazione (-)","camera-doppia-bagno (-)#camera-singola-bagno (-)#mezza-pensione-bagno (-)#pasto-cena (-)#pasto-pranzo (-)#servizio-colazione (-)","","","","",""
"ALBARO RESORT","Affittacamere","","6","6","10","STRADA PROV.LE  LEVERANO - PORTO CESAREREO","","73045","075037","Leverano","LE","","","0832-911982","","www.albaroresort.it","info@albaroresort.it","","","","camera-doppia-bagno (120-240)#camera-singola-bagno (70-110)","camera-doppia-bagno (-)#camera-singola-bagno (-)","","","","",""
"L'ANGOLO ANTICO","Bed & breakfast","","1","1","5","VIA VITTORIO VENETO","","70013","072017","Castellana Grotte","BA","","","080 4053032","","","suraceantonio@libero.it","","","","camera-doppia-bagno (55-75)#camera-singola-bagno (25-40)","camera-doppia-bagno (-)#camera-singola-bagno (-)","","","","",""
"FRONTINO'S RESIDENCE","Case e appartamenti","","3","3","10","VIA ACERINA ","","76016","110005","Margherita di Savoia","BT","","","","","www.frontinosresidence.com","info@frontinosresidence.com","01/01/2015-31/12/2015","Bagno privato-Accesso animali piccola taglia","Aria condizionata indipendente-Tv-Riscaldamento-Angolo cottura","supplemento-cambio-biancheria (10-20)#supplemento-pulizia-extra (10-20)#ua-bilocale-sett (420-600)","supplemento-cambio-biancheria (0-0)#supplemento-pulizia-extra (0-0)#ua-bilocale-sett (300-350)","","","","",""
"SUITE HOTEL SANTA CHIARA","Alberghi","4 stelle","21","24","49","VIA DEGLI AMMIRATI","","73100","075035","Lecce","LE","","","0832-304998","0832304998","www.santachiaralecce.it","info@santachiaralecce.it","01/01/2015-31/12/2015","Bar-Reception 24h-Camere fumatori-Ascensore-Facchinaggio-Cassaforte / cassette di sicurezza-Parcheggio Coperto / Scoperto-Quotidiani-Accesso animali piccola taglia-Camere / struttura per ospiti disabili","Aria condizionata centralizzata-Aria condizionata indipendente-Rscaldamento centralizzato-Riscaldamento indipendente-Cassafforte / cassetta di sicurezza-Tv-Frigobar-idromassaggio-Riscaldamento-Telefono","camera-doppia-bagno (130-160)#camera-quadrupla-bagno (200-240)#camera-tripla-bagno (160-190)#mezza-pensione-bagno (190-220)#pasto-cena (35-45)#pasto-pranzo (35-45)#pensione-completa-bagno (240-290)","camera-doppia-bagno (120-150)#camera-quadrupla-bagno (180-200)#camera-tripla-bagno (150-170)#mezza-pensione-bagno (170-200)#pasto-cena (-)#pasto-pranzo (-)#pensione-completa-bagno (210-240)","http://www.agenziapugliapromozione.it/portal/documents/ddl/185477/fileFoto1","http://www.agenziapugliapromozione.it/portal/documents/ddl/185477/fileFoto2","http://www.agenziapugliapromozione.it/portal/documents/ddl/185477/fileFoto3","http://www.agenziapugliapromozione.it/portal/documents/ddl/185477/fileFoto4","http://www.agenziapugliapromozione.it/portal/documents/ddl/185477/fileFoto5"
"MASSERIA TARTURIELLO","Bed & breakfast","","5","4","10","VIA CEGLIE-MARTINA S.S.581 KM 38,950","","72013","074003","Ceglie Messapica","BR","","","0831 385712","","","","","","","","","","","","",""
"OPERA DON GUANELLA","Case per ferie","","18","15","70","VIA MATARANO","","72015","074007","Fasano","BR","","","080/4413037","","www.sacrocuorefasano.net","scuorefasano.casaferie@email.it","01/07/2015-31/08/2015","Parcheggio Coperto / Scoperto-Cucina in uso comune-Camere / struttura per ospiti disabili","Nessuno","camera-tripla (15-15)#camera-tripla-bagno (15-15)","camera-tripla (15-15)#camera-tripla-bagno (15-15)","","","","",""
"IL TRULLO DEI RICORDI","Affittacamere","","3","3","8","CONTRADA FOGGIA DI SAURO- S.S. 172","","72017","074012","Ostuni","BR","","","","","www.iltrullodeiricordi.it","info@trullodeiricordi.it","","","","camera-doppia-bagno (-1550)","camera-doppia-bagno (380-)","","","","",""
"JUBILEE  HOTEL CLUB","Alberghi","3 stelle","14","8","14","VIA CASTEL DEL MONTE","","70033","072020","Corato","BA","","","080 8727008","","","info@jubileehotelclub.it","","","","camera-doppia-bagno (59-80)#camera-singola-bagno (39-45)#pasto-cena (15-15)#pasto-pranzo (15-15)#servizio-colazione (-)","camera-doppia-bagno (-)#camera-singola-bagno (-)#pasto-cena (-)#pasto-pranzo (-)#servizio-colazione (-)","","","","",""
"LA CAMERA DUCALE R & R RELAIS E RICEVIMENTI","Alberghi","3 stelle","34","37","96","PER VIA GUARDIALTO, C.DA SELVA S.P. 201 KM 2,5","","70024","072023","Gravina in Puglia","BA","40.84253760000001","16.36992710000004","080 3269512","08022091855","www.lacameraducale.com","info@lacameraducale.com","01/01/2015-31/12/2015","Ristorante-Bar-Deposito bagagli-Parcheggio Coperto / Scoperto-Accesso animali piccola taglia-Camere / struttura per ospiti disabili","Aria condizionata indipendente-Riscaldamento indipendente-Tv-Frigobar-Telefono","camera-doppia-bagno (39-349)#camera-quadrupla-bagno (59-599)#camera-tripla-bagno (49-499)#doppia-uso-singola-bagno (39-349)#mezza-pensione-bagno (34-104)#pasto-cena (18-100)#pasto-pranzo (18-100)#pensione-completa-bagno (39-119)#supplemento-servizio-incamera (5-20)#supplemento-servizio-navetta (5-70)","camera-doppia-bagno (0-0)#camera-quadrupla-bagno (0-0)#camera-tripla-bagno (0-0)#doppia-uso-singola-bagno (0-0)#mezza-pensione-bagno (0-0)#pasto-cena (-)#pasto-pranzo (-)#pensione-completa-bagno (0-0)#supplemento-servizio-incamera (-)#supplemento-servizio-navetta (-)","http://www.agenziapugliapromozione.it/portal/documents/ddl/339784/fileFoto1","http://www.agenziapugliapromozione.it/portal/documents/ddl/339784/fileFoto2","http://www.agenziapugliapromozione.it/portal/documents/ddl/339784/fileFoto3","http://www.agenziapugliapromozione.it/portal/documents/ddl/339784/fileFoto4","http://www.agenziapugliapromozione.it/portal/documents/ddl/339784/fileFoto5"
"BLU MARE","Villaggi turistici","4 stelle","72","80","216","VIA FRASSANITO","","73028","075057","Otranto","LE","40.1438978","18.49116779999997","0836/803027","08361950314","www.blumarevillage.it","info@blumarevillage.it","20/05/2015-30/09/2015","Ristorante-Bar-Cassaforte / cassette di sicurezza-Parcheggio Coperto / Scoperto-Camere / struttura per ospiti disabili","Aria condizionata indipendente-Riscaldamento indipendente-Cassafforte / cassetta di sicurezza-Tv satellitare-Frigobar-Telefono-Angolo cottura","supplemento-pulizia-bilocale (50-70)#supplemento-tessera-club-adulti (35-50)#supplemento-tessera-club-bambini (25-50)#ua-bilocale (70-250)","supplemento-pulizia-bilocale (-)#supplemento-tessera-club-adulti (-)#supplemento-tessera-club-bambini (-)#ua-bilocale (30-100)","","","","",""
"MY BED ","Bed & breakfast","","3","3","6","Via F. Petrarca","","73020","075020","Cavallino","LE","","","+39.377.6884644","","www.mybed.it","info@mybed.it","01/01/2015-31/12/2015","Bagno privato","Aria condizionata indipendente-Riscaldamento indipendente-Tv-Frigobar-Riscaldamento","camera-doppia-bagno (50-80)#doppia-uso-singola (35-50)","camera-doppia-bagno (40-60)#doppia-uso-singola (-)","http://www.agenziapugliapromozione.it/portal/documents/ddl/1055062/fileFoto1","http://www.agenziapugliapromozione.it/portal/documents/ddl/1055062/fileFoto2","http://www.agenziapugliapromozione.it/portal/documents/ddl/1055062/fileFoto3","http://www.agenziapugliapromozione.it/portal/documents/ddl/1055062/fileFoto4","http://www.agenziapugliapromozione.it/portal/documents/ddl/1055062/fileFoto5"
"LE COTIME ","Bed & breakfast","","5","5","10","VIA CAIROLI","","73015","075065","Salice Salentino","LE","","","","","","calo.1978@libero.it","","","","camera-doppia-bagno (50-80)#camera-singola-bagno (25-40)","camera-doppia-bagno (-)#camera-singola-bagno (-)","","","","",""
"MASSERIA PETROSA","Affittacamere","","4","3","12","CONTRADA STERPINA - VIA PER ZONA LA PILA","","74018","073020","Palagianello","TA","","","(+39) 334.6247333","","www.aziendapetrosa.it","mariateresa.pastore065@gmail.com","","","","camera-singola-bagno (-35)","camera-singola-bagno (-30)","","","","",""
"LA NENA","Bed & breakfast","","5","3","10","MONTEGRAPPA","","73020","075091","Uggiano la Chiesa","LE","40.06520159999999","18.431686300000024","3476664025","","www.bblanena.it","info@bblanena.it","15/06/2015-15/10/2015","Deposito bagagli-Bagno privato-Sala Tv-Sala lettura-Accesso animali piccola taglia-Reception 24h-Camere fumatori","Aria condizionata indipendente-Riscaldamento indipendente-Tv-Riscaldamento","camera-doppia (60-80)#camera-doppia-bagno (60-80)#camera-doppia-bagno-persona (30-40)#camera-doppia-persona (30-40)#doppia-uso-singola (20-20)#supplemento-aria-condizionata (5-5)","camera-doppia (50-70)#camera-doppia-bagno (50-70)#camera-doppia-bagno-persona (25-35)#camera-doppia-persona (25-35)#doppia-uso-singola (-)#supplemento-aria-condizionata (-)","","","","",""
"ANTICA MASSERIA GIANFELICE","Affittacamere","","6","6","10","STRADA GIANFELICE ZONA I","","74015","073013","Martina Franca","TA","","","080.4837731 - 080.4302018","","www.masseriagianfelice.it","masseriagianfelice@libero.it","01/05/2015-31/10/2015","Reception 24h-Camere fumatori-Deposito bagagli-Bagno privato-Sala Tv-Sala lettura-Parco / Giardino-Somministrazione bevande-Accesso animali piccola taglia-Camere / struttura per ospiti Disabili","Riscaldamento indipendente-Tv-Insonorizzazione-Frigobar-Riscaldamento","camera-doppia-bagno (70-70)#camera-singola-bagno (35-35)#supplemento-posto-letto-agg (10-10)","camera-doppia-bagno (60-60)#camera-singola-bagno (30-30)#supplemento-posto-letto-agg (-)","","","","",""
"LA ROSA DEI TRULLI","Bed & breakfast","","6","3","10","STRADA PROVINCIALE DEI TRULLI 172","Maranna","74015","073013","Martina Franca","TA","","","+39 080.4324133","","www.larosadeitrulli.it","info@larosadeitrulli.it","","Reception 24h-Bagno privato-Sala Tv-Sala lettura-Parco / Giardino-Somministrazione bevande-Somministrazione alimenti-Camere / struttura per ospiti Disabili","Aria condizionata indipendente-Rscaldamento centralizzato-Riscaldamento indipendente-Tv-Tv satellitare-Insonorizzazione-Frigobar-Riscaldamento-Telefono-Angolo cottura","","","http://www.agenziapugliapromozione.it/portal/documents/ddl/864773/fileFoto1","http://www.agenziapugliapromozione.it/portal/documents/ddl/864773/fileFoto2","http://www.agenziapugliapromozione.it/portal/documents/ddl/864773/fileFoto3","http://www.agenziapugliapromozione.it/portal/documents/ddl/864773/fileFoto4","http://www.agenziapugliapromozione.it/portal/documents/ddl/864773/fileFoto5"
"I TRULLI DI NONNO MICHELE","Bed & breakfast","","5","5","16","CONTRADA  CAPITOLO COLUCCI, Zona B","Capitolo-Colucci","74015","073013","Martina Franca","TA","","","348.7367440","0804385946","www.trullidelnonnomichele.com","info@trullidelnonnomichele.com","01/01/2015-31/12/2015","Bagno privato-Parco / Giardino","Aria condizionata centralizzata-Rscaldamento centralizzato-Tv-Angolo cottura","camera-doppia-bagno (35-55)#camera-quadrupla-bagno (35-55)#camera-quadrupla-bagno-persona (35-55)#camera-tripla-bagno (35-55)#camera-tripla-bagno-persona (35-55)","camera-doppia-bagno (20-35)#camera-quadrupla-bagno (20-35)#camera-quadrupla-bagno-persona (20-35)#camera-tripla-bagno (20-35)#camera-tripla-bagno-persona (20-35)","http://www.agenziapugliapromozione.it/portal/documents/ddl/797809/fileFoto1","http://www.agenziapugliapromozione.it/portal/documents/ddl/797809/fileFoto2","http://www.agenziapugliapromozione.it/portal/documents/ddl/797809/fileFoto3","http://www.agenziapugliapromozione.it/portal/documents/ddl/797809/fileFoto4","http://www.agenziapugliapromozione.it/portal/documents/ddl/797809/fileFoto5"
"IRIS B&B","Bed & breakfast","","3","3","10","VIA C.COLOMBO","","74014","073009","Laterza","TA","","","099.8218256","0999871453","www.irisbeb.com","pucci4@mac.com","01/01/2015-31/12/2015","","","camera-doppia-bagno (60-70)#camera-doppia-bagno-persona (30-35)#camera-quadrupla-bagno (100-120)#camera-quadrupla-bagno-persona (25-30)#camera-singola-bagno (30-45)#camera-tripla-bagno (75-99)#camera-tripla-bagno-persona (25-33)#doppia-uso-singola (25-45)","camera-doppia-bagno (50-64)#camera-doppia-bagno-persona (25-32)#camera-quadrupla-bagno (88-112)#camera-quadrupla-bagno-persona (22-28)#camera-singola-bagno (25-40)#camera-tripla-bagno (69-90)#camera-tripla-bagno-persona (23-30)#doppia-uso-singola (-)","","","","",""
"CARPIGNANO","Affittacamere","","2","2","8","VIA C. COLOMBO","","74018","073020","Palagianello","TA","40.61438335800957","16.978891154800408","331.5008146","","www.bebcarpignano.it","info@bebcarpignano.it","","Reception 24h-Deposito bagagli-Bagno privato-Sala Tv-Parco / Giardino","Aria condizionata indipendente-Riscaldamento indipendente-Tv satellitare-Insonorizzazione-Frigobar-Idromassaggio-Riscaldamento-Angolo cottura","camera-doppia-bagno (60-70)#camera-singola-bagno (30-35)","camera-doppia-bagno (50-70)#camera-singola-bagno (25-35)","http://www.agenziapugliapromozione.it/portal/documents/ddl/1050505/fileFoto1","http://www.agenziapugliapromozione.it/portal/documents/ddl/1050505/fileFoto2","http://www.agenziapugliapromozione.it/portal/documents/ddl/1050505/fileFoto3","http://www.agenziapugliapromozione.it/portal/documents/ddl/1050505/fileFoto4","http://www.agenziapugliapromozione.it/portal/documents/ddl/1050505/fileFoto5"
"CASINA METRANO ","Case e appartamenti","","4","2","10","CONTRADA MONACI","","73015","075065","Salice Salentino","LE","","","0831-666071","","www.casinametrano.it","info@casinametrano.it","","","","ua-bilocale-sett (800-1500)","ua-bilocale-sett (-)","","","","",""
